section No,例文 No,単語No,英文,日本文,語句,意味,語句2,意味2,語句3,意味3
9,101,482,I 【was】 【amazed】 【to】 【see】 that our utility bills came to so much,うちの光熱費がそんな額になっているのを知ってびっくりした。,amaze ...,…を(とても)驚かす,be amazed to hear (see) ...,...を聞いて（見て）とても驚く,,
9,101,483,I was amazed to see that our 【utility】 bills came to so much,うちの光熱費がそんな額になっているのを知ってびっくりした。,utility,電気、ガス、水道,,,,
9,101,484,I was amazed to see that our utility 【bills】 came to so much,うちの光熱費がそんな額になっているのを知ってびっくりした。,bill,請求書 ,,,,
9,101,485,I was amazed to see that our utility bills 【came】 【to】 so much,うちの光熱費がそんな額になっているのを知ってびっくりした。,come to...,(合計が)…になる,,,,
9,102,486,"""【Turn】 the faucet 【off】!"" mom yelled in a rage.",｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。,turn ... off,...を止める,,,,
9,102,487,"""Turn the 【faucet】 off!"" mom yelled in a rage.",｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。,faucet,水道の栓,,,,
9,102,488,"""Turn the faucet off!"" mom 【yelled】 in a rage.",｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。,yell,叫ぶ,,,,
9,102,489,"""Turn the faucet off!"" mom yelled 【in】 【a】 【rage】.",｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。,rage,激怒,in a rage,激怒して,,
9,103,490,【Tighten】 the lid so the food doesn't go bad.,食べ物が腐らない様にふたをしっかり閉めなさい。,tighten ...,...をきつく締める,,,,
9,103,491,Tighten the 【lid】 so the food doesn't go bad.,食べ物が腐らない様にふたをしっかり閉めなさい。,lid,蓋,,,,
9,103,492,Tighten the lid 【so】 the food doesn't go bad.,食べ物が腐らない様にふたをしっかり閉めなさい。,so (that) A will do....,Aが...するように,,,,
9,103,493,Tighten the lid so the food doesn't 【go】 【bad】.,食べ物が腐らない様にふたをしっかり閉めなさい。,go bad,腐る、いたむ,,,,
9,104,494,"""Can I 【borrow】 your scissors?"" ""Sure, here you are.""",｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」,borrow ...,…を（無料で）借りる,,,,
9,104,495,"""Can I borrow your 【scissors】?"" ""Sure, here you are.""",｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」,scissors,はさみ,,,,
9,104,496,"""Can I borrow your scissors?"" ""【Sure】, here you are.""",｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」,sure,もちろん、いいですよ,,,,
9,104,497,"""Can I borrow your scissors?"" ""Sure, 【here】 【you】 【are】.""",｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」,Here you are.,はいどうぞ,,,,
9,105,498,You can 【substitute】 some transparent glue 【for】 a needle and thread.,針と糸の代わりに透明な接着剤を使っても結構です｡,substitute,代わりになる,substitute ...(for A),...を（Aの）代わりに使う,,
9,105,499,You can substitute some 【transparent】 glue for a needle and thread.,針と糸の代わりに透明な接着剤を使っても結構です｡,transparent,透明な,,,,
9,105,500,You can substitute some transparent 【glue】 for a needle and thread.,針と糸の代わりに透明な接着剤を使っても結構です｡,glue,接着剤、のり,,,,
9,105,501,You can substitute some transparent glue for a 【needle】 and thread.,針と糸の代わりに透明な接着剤を使っても結構です｡,needle,縫い針,,,,
9,105,502,You can substitute some transparent glue for a needle and 【thread】.,針と糸の代わりに透明な接着剤を使っても結構です｡,thread,糸,,,,
9,106,503,I 【dyed】 this fabric and it shrank,この織物を染めたら縮んでしまった。,dye ...,...を染める,,,,
9,106,504,I dyed this 【fabric】 and it shrank,この織物を染めたら縮んでしまった。,fabric,織物、生地,,,,
9,106,505,I dyed this fabric and it 【shrank】,この織物を染めたら縮んでしまった。,shrink ...,縮む、...を縮ませる,,,,
